wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Civitas Social Housing,https://en.wikipedia.org/wiki/Civitas_Social_Housing,,,,,,,,,,,,,,,,,,,
Capital & Regional,https://en.wikipedia.org/wiki/Capital_%26_Regional,,Public,1979,,"London, England, UK",Property,"Hugh Scott-Barrett, Chairman Lawrence Hutchings, CEO",£3.7 million (2023),,£9.5 million (2023),,,,£59.0 million (2023),,,,LSE: CAL,www.capreg.com
Raffles Design Institute,https://en.wikipedia.org/wiki/Raffles_Design_Institute,,"Private, for-profit",,,,,,,,,,,,,,,,,raffles-college.edu.sg
Shangshu Sheng,https://en.wikipedia.org/wiki/Shangshu_Sheng,,,,,,,,,,,,,,,,,,,
Foton Motor,https://en.wikipedia.org/wiki/Foton_Motor,,Subsidiary,28 August 1996; 29 years ago (1996-08-28),,"Changping, Beijing, China",Automotive,Xiyong Zhang (Chairman)Yuequiong Gong (President & General Manager),"5,900,000,000 renminbi (2022)","~40,000",,,BAIC Group,AutomobilesCommercial vehicles,"100,400,000,000 renminbi (2022)","Beijing Foton Cummins Engine Co., Ltd. (50%)Beijing Foton Daimler Automotive Co., Ltd. (50%)Samhung Joint Venture Company",,,,foton-global.com
SMG (property management),https://en.wikipedia.org/wiki/SMG_(property_management),,Private,1977; 48 years ago (1977),,"West Conshohocken, Pennsylvania",,,,,,Onex Corporation (2017–2019),,,,,,,,www.smgworld.com [dead link]
Sunac,https://en.wikipedia.org/wiki/Sunac,China,public,2003,Sun Hongbin,,Real estate,Sun Hongbin (Chairman),,"24,105",,,,,,,,,SEHK: 1918,sunac.com.cn
NewRiver,https://en.wikipedia.org/wiki/NewRiver,,REIT,2009,,"London, England, UK",Property,Margaret Ford (Chairman)Allan Lockhart (CEO),£3.0 million (2024),,£26.8 million (2024),,,,£65.0 million (2024),,,,LSE: NRR,www.nrr.co.uk
Yangon City Development Committee,https://en.wikipedia.org/wiki/Yangon_City_Development_Committee,,,,,Yangon City Hall,,,,,,,,,,,,,,www.ycdc.gov.mm
The Wharf (Holdings),https://en.wikipedia.org/wiki/The_Wharf_(Holdings),Hong KongMainland China,Public,1886; 139 years ago (1886),,"Kowloon, Hong Kong, China",LogisticsHotelsReal EstateTelecommunications,Peter Woo (chairman),,,,Wheelock and Company,Wheelock and Company,,,,,,SEHK: 4,www.wharfholdings.com/en/
Arricano Real Estate plc,https://en.wikipedia.org/wiki/Arricano_Real_Estate_plc,,Public limited company,2005,,"Kyiv, Ukraine","Real estate development, retail",,,,,,,Commercial real estate,,,,,,www.arricano.com
Hopson Development,https://en.wikipedia.org/wiki/Hopson_Development,People's Republic of China,Privately held company,1992,,"Chaoyang District, Beijing, People's Republic of China",Real estate,Chairman: Mr. Zhu Mengyi,,"7,001",,,,,,,,,SEHK: 754,Hopson Development Holdings Limited
Overseas Chinese Town Enterprises,https://en.wikipedia.org/wiki/Overseas_Chinese_Town_Enterprises,China,State-owned enterprise,1985,,"Shenzhen, China",Tourism and Culture,,,,,State Council of China (100%),,,"110,348,810,000 renminbi (2018)",Overseas Chinese Town (53.47%)Konka Group (29.99%)OCT Bay (100%),,,,www.chinaoct.com
Vanke,https://en.wikipedia.org/wiki/Vanke,,Public company,1984,Wang Shi,"Dameisha, Yantian District, Shenzhen, Guangdong, China",Real estate,Chairman: Yu LiangCEO: Yu Liang,US$ 1.7 billion (2023),"131,097 (2023)",,Shenzhen Metro (29.38%),,,US$ 65.79 billion (2023),,US$ 212.0 billion (2023),,SZSE: 000002SEHK: 2202CSI A50,vanke.com
Powerlong,https://en.wikipedia.org/wiki/Powerlong,,,1990; 35 years ago (1990) in Macau,Xu Jiankang (Hoi Kin Hong),"Fujian, China",Real Estate Development,,,"9,718 (2018)",,,,,,,,,,
Hunters Point Naval Shipyard,https://en.wikipedia.org/wiki/Hunters_Point_Naval_Shipyard,,Shipyard,,,,,,,,,,,,,,,,,
SOHO China,https://en.wikipedia.org/wiki/SOHO_China,People's Republic of China,Public,1995,Pan ShiyiZhang Xin,"Beijing, People's Republic of China (de facto)Cayman Islands (Incorporated Office)",Real estate,Pan Shiyi (Chairman)Zhang Xin (CEO),RMB543.466 Million (Fiscal Year Ended 31 December 2020),,RMB1.600 Billion (Fiscal Year Ended 31 December 2020),,,,RMB2.191 Billion (Fiscal Year Ended 31 December 2020),,RMB70.704 Billion (Fiscal Year Ended 31 December 2020),RMB37.547 Billion (Fiscal Year Ended 31 December 2020),SEHK: 410,www.sohochina.com
40 Wall Street,https://en.wikipedia.org/wiki/40_Wall_Street,,,,,,,,,,,40 Wall Street Holdings Corp,,,,,,,,
Hang Lung Properties,https://en.wikipedia.org/wiki/Hang_Lung_Properties,Hong Kong,Public company,1960,,"28/F, Standard Chartered Bank Building, Central, Hong Kong","Real estate, Car park",Ronnie Chan Adriel Chan,,,,,Hang Lung Group,,,,,,SEHK: 101Hang Seng Index component,hanglung.com
Guoco Group,https://en.wikipedia.org/wiki/Guoco_Group,,Public,,,"50th Floor, The Center, 99 Queen's Road Central, Hong Kong",,Kwek Leng Hai (Chairman)Chew Seong Aun (CFO),US$ 250 million (2022)US$ 322 million (2021),"12,000",,,Hong Leong Group,,,GuocoLand LimitedGuocoLand (Malaysia) BerhadGuocoLand (China) Limited,US$ 16.6 billion (2022)US$ 16.9 billion (2021),US$ 7.70 billion (2022)US$ 7.36 billion (2021),SEHK: 53,guoco.com
Savills,https://en.wikipedia.org/wiki/Savills,,Public limited company,1855; 170 years ago (1855),,"33 Margaret Street, London, W1G 0JD",Real estate,Stacey Cartwright (Chairperson) Mark Ridley (CEO) Simon Shaw (CFO),£52.9 million (2024),,£73.8 million (2024),,,,"£2,404.0 million (2024)",,,,LSE: SVSFTSE 250 component,savills.co.uk
MOS Burger,https://en.wikipedia.org/wiki/MOS_Burger,,Public KK,"Tokyo, Japan (July 21, 1972; 53 years ago (1972-07-21))","Atsushi Sakurada (櫻田 厚, Sakurada Atsushi)","ThinkPark Tower2-1-1 Osaki, Shinagawa-ku, Tokyo, 141-6029 Japan",Foodservice,"Atsushi Sakurada, (CEO and President)",$ 16 million (FY 2012)(¥ 1.52 billion) (FY 2012),"1,375 (as of March 2016)",,,,Fast foodFinanceSanitation,$ 663 million (FY 2012)(¥ 62.371 billion) (FY 2012),9,,,TYO: 8153,www.mos.co.jp/global/
Harworth Group,https://en.wikipedia.org/wiki/Harworth_Group,,Public limited company,,,"Rotherham, South Yorkshire, United Kingdom",Real Estate,"Alastair Lyons (Chairman)Lynda Shillaw, (Chief Executive)",£57.2 million (2024),,£74.6 million (2024),,,,£181.6 million (2024),,,,LSE: HWG,harworthgroup.com
Nanyang Technological University,https://en.wikipedia.org/wiki/Nanyang_Technological_University,,Public research university,,,,,,,,,,,,,,,,,ntu.edu.sg
Sea Holdings,https://en.wikipedia.org/wiki/Sea_Holdings,,Listed,1956,Lu Chu-mang,Bermuda(registered office)Hong Kong(de facto),Property,Lu Wing-Chi(chairman)Lambert Lu(CEO),,,,,,,,,,,SEHK: 251,www.seagroup.com.hk
University Circle Properties Development,https://en.wikipedia.org/wiki/University_Circle_Properties_Development,,,1968,Winston E. Willis,Cleveland Ohio,,,,,,,,,,,,,,
China State Construction Engineering,https://en.wikipedia.org/wiki/China_State_Construction_Engineering,Worldwide,State-owned enterprise,1957; 68 years ago (1957),,"Beijing, China",Construction,Zheng Xuexuan (Chairman)(Party Secretary),US$ 4.4 billion (2023),"382,894 (2023)",,Central People's Government,,,US$ 320.4 billion (2023),China State Construction Engineering Corporation Limited (56.26%),US$ 410.1 billion (2023),,CSI A50,www.cscec.com.cn
HKR International,https://en.wikipedia.org/wiki/HKR_International,,Public,"May 25, 1973; 52 years ago (1973-05-25) in Hong Kong",Dr. Cha Chi Ming,"23/F, China Merchants Tower Shun Tak Centre, 168 Connaught Road, Central, Hong Kong",Conglomerate,,,,,,,,,,,,SEHK: 480,http://www.hkri.com/
Lok'nStore,https://en.wikipedia.org/wiki/Lok%27nStore,,Public,1995,,"Farnborough, Hampshire, UK",Storage,"Andrew Jacobs (Chair), Ray Davies (Finance Director), Neil Newman (Managing Director), Tom Lampard (Property Director)",,200+ (2024),,,,,£25.3 million. Up 12.1% (2022: £22.5 million),,,,LSE: LOK,www.loknstore.co.uk
Sun Hung Kai & Co.,https://en.wikipedia.org/wiki/Sun_Hung_Kai_%26_Co.,Hong Kong,Listed company,1969,Mr. Fung King HeyMr. Kwok Tak SengMr. Lee Shau Kee,"Hong Kong, Hong Kong",Financial services,Chairman: Mr. Lee Seng Huang,,,,,Allied Properties (H.K.) Limited,,,,,,SEHK: 86,shkco.com
Standard Bank,https://en.wikipedia.org/wiki/Standard_Bank,AfricaAsiaEuropeNorth AmericaSouth America,Public,15 October 1862; 163 years ago (1862-10-15),,"5 Simmonds Street, Johannesburg, South Africa",Banking,Nonkululeko Nyembezi-Heita (Chairperson)Sim Tshabalala (CEO),R181 billion (2024),"54,115 (2024)",,,,Commercial bankingForeign currency exchangeInsuranceInvestment bankingInvestment managementPrivate bankingConsumer bankingWealth management,,,R 3.26 trillion (2024),R292 billion(2024),JSE: SBKLSE: SBK,www.standardbank.com
Shaftesbury PLC,https://en.wikipedia.org/wiki/Shaftesbury_PLC,,Public,1986,,"London, United Kingdom",Real estate,"Jonathan Nicholls, ChairmanBrian Bickell, CEOSimon Quayle, Property DirectorTom Welton, Property DirectorChris Ward, Finance Director",£119.1 million (2022),,£147.8 million (2022),,,"London West End restaurants, leisure and retail",£123.1 million (2022),,,,LSE: SHBFTSE 250 component,www.shaftesbury.co.uk
UK Commercial Property REIT,https://en.wikipedia.org/wiki/UK_Commercial_Property_REIT,,Public,2006 (2006),,"London, United Kingdom",Financial services,Ken McCullagh (Chairman),,,,,,Investment trust,,,,,LSE: UKCM,www.ukcpreit.com
Big Yellow Group,https://en.wikipedia.org/wiki/Big_Yellow_Group,,Public,1998; 27 years ago (1998),,"Bagshot, England, UK",Storage,Nicholas Vetch (Chairman)James Gibson (Chief executive officer),£239.8 million (2024),464 (2024),£259.6 million (2024),,,,£199.6 million (2024),,,,LSE: BYGFTSE 250 component,bigyellow.co.uk
Purplebricks,https://en.wikipedia.org/wiki/Purplebricks,,Public,2012,,"London , United Kingdom",Internet & Real Estate,"Paul Pindar (Non-Executive Chairman) Gillian Draper (CEO), Stephen Anthony Long (CFO)",,,-£9.4 million (2020),,,,£111.1 million (2020),,,,AIM: PURP,www.purplebricks.com
Longfor Properties,https://en.wikipedia.org/wiki/Longfor_Properties,,,,,,,,,,,,,,,,,,,
CK Asset Holdings,https://en.wikipedia.org/wiki/CK_Asset_Holdings,,Public,As Cheung Kong Holdings in 1950; 75 years ago (1950)As CK Asset Holdings on 3 June 2015; 10 years ago (2015-06-03),,"7/F, Cheung Kong Center, 2 Queen's Road Central, Hong Kong",Property,Victor Li Tzar-kuoi (Chairman and Managing Director),,,,,,"real estate development and investment, aircraft leasing",,Cheung Kong Property Development LimitedCitybase Property Management LimitedGoodwell Property Management LimitedHarbour Plaza Hotel Management LimitedHutchison Property Group LimitedAccipiter Holdings Designated Activity Company,,,SEHK: 1113Hang Seng Index component,ckah.com
"County Hall, Cardiff","https://en.wikipedia.org/wiki/County_Hall,_Cardiff",,,,,,,,,,,,,,,,,,,
Wo Hop To,https://en.wikipedia.org/wiki/Wo_Hop_To,,,1908 (1908),,,,,,,,,,,,,,,,
Concordia University,https://en.wikipedia.org/wiki/Concordia_University,,Public university,,,,,,,,,,,,,,,,,concordia.ca
Adams v Cape Industries plc,https://en.wikipedia.org/wiki/Adams_v_Cape_Industries_plc,,,,,,,,,,,,,,,,,,,
Noble Automotive,https://en.wikipedia.org/wiki/Noble_Automotive,,Private,1999 in Leeds,Lee Noble,"Leicester, England",Automotive,Peter Boutwood – MD,,8,,Bowei Liu,,Sports cars,,,,,,www.noblecars.com
Wang Laboratories,https://en.wikipedia.org/wiki/Wang_Laboratories,,Public,"Cambridge, Massachusetts, US (1951)",,"Tewksbury, Massachusetts, US (1963–1976)Lowell, Massachusetts, US (1976–1995)Billerica, Massachusetts (1995-1999)",Computer hardware,An Wang (founder),,"33,000 (1980s)",,,,"Word processors, minicomputers, microcomputers","$3 billion (1980s, peak)",,,,,
China SCE Property,https://en.wikipedia.org/wiki/China_SCE_Property,People's Republic of China,Privately held company,1995; 30 years ago (1995),,"Xiamen, Fujian, People's Republic of China",Real estate,Chairman: Mr. Wong Chiu Yeung,,,,,,,,,,,,www.sce-re.com
Agile Property,https://en.wikipedia.org/wiki/Agile_Property,People's Republic of China,Public company,1985,,"Tianhe District, Guangzhou, Guangdong, People's Republic of China",Real estate,"Chairman: Mr. Chen Zhuolin Vice-Chairlady and Co-President: Ms. Luk Sin Fong, Fion Vice-Chairman and Co-President: Mr. Chan Cheuk Yin Executive Director and Senior Vice-President: Mr. Chan Cheuk Hung, Mr. Chan Cheuk Nam, Mr. Chan Cheuk Hei",,,,,,,,,,,,Agile Property Holdings
China Great Wall Asset Management,https://en.wikipedia.org/wiki/China_Great_Wall_Asset_Management,,State-owned enterprise,2 November 1999; 26 years ago (1999-11-02),,"Beijing, China",Financial services,Li Junfeng (President),CN¥−8.2 billion (2021),,CN¥22.7 billion (2021),,Ministry of FinanceNational Council for Social Security FundChina Life Insurance Company,,,Great Wall Pan Asia Holdings,CN¥642.9 billion (2021),CN¥64.7 billion (2021),,www.gwamcc.com
LondonMetric Property,https://en.wikipedia.org/wiki/LondonMetric_Property,,Public,2007,,"London, England, UK",Property,"Alistair Elliott, ChairmanAndrew Jones, CEO",£119.9 million (2024),,£161.3 million (2024),,,,£178.1 million (2024),,,,LSE: LMPFTSE 100 component,londonmetric.com
Tritax EuroBox,https://en.wikipedia.org/wiki/Tritax_EuroBox,,Public limited company,2018; 7 years ago (2018),,"London, United Kingdom",Property investment,Richard Orr (Chairman),€(229.79) million (2023) (2023),,€(238.77) million (2023) (2023),,Brookfield Asset Management,,€79.9 million (2023),,,,LSE: EBOX,www.tritaxeurobox.co.uk
Rosewood Hotel Group,https://en.wikipedia.org/wiki/Rosewood_Hotel_Group,Worldwide,Subsidiary,2005; 20 years ago (2005) in Hong Kong,New World China Land,British Virgin Islands(registered office)Hong Kong(de facto),Hospitality,Sonia Cheng (CEO),,,,,Chow Tai Fook Enterprises,,,New World Hotels & ResortsRosewood Hotels & Resorts,,HK$1.934 billion (31 March 2015),,rosewoodhotelgroup.com
Irish Residential Properties REIT,https://en.wikipedia.org/wiki/Irish_Residential_Properties_REIT,,Public limited company,April 2014,,"Dublin, Ireland",Real Estate,"Eddie Byrne, CEOBrian Fagan, CFO",,,,,,,€50.6 million (2018),,,,Euronext Dublin: IRESLSE: 0QT8FWB: IRESISEQ 20 component,iresreit.ie
Helical plc,https://en.wikipedia.org/wiki/Helical_plc,,Public,1919,,"London, UK",Real estate,"Richard Cotton (chair)Matthew Bonning-Snook, (Chief Executive)",£27.949 million (2025),25,£38.711 million (2025),,,,£31.962 million (2025),,,,LSE: HLCL,www.helical.co.uk
Nimble Storage,https://en.wikipedia.org/wiki/Nimble_Storage,,Subsidiary,2008,,"San Jose, California, United States","Information technology, data storage, solid state drives","Varun Mehta, co-founderUmesh Maheshwari, co-founder and CTOSuresh Vasudevan, CEO",,1000+,,,Hewlett Packard Enterprise,"AF-Series Predictive All Flash arrays: AF1000, AF3000, AF5000, AF7000, AF9000 CS-Series Adaptive Flash arrays: CS1000/H, CS3000, CS5000, CS7000",,,,,,
Studio Fantasia,https://en.wikipedia.org/wiki/Studio_Fantasia,,Yūgen-gaisha,"October 12, 1983; 42 years ago (1983-10-12)",Tomohisa Iizuka,"Nerima, Tokyo, Japan",Japanese animation,,,,,,,,,Chaos Project (ended 1995),,,,
As Ever,https://en.wikipedia.org/wiki/As_Ever,United States,,2024 (as American Riviera Orchard) 2025 (as As Ever),"Meghan, Duchess of Sussex","Santa Barbara, California, U.S.",Food preserves and home goods,"Meghan, Duchess of Sussex (CEO) Melissa Kalimov (COO)",,,,"As Ever Enterprises, LLC",,,,,,,,asever.com
FDB Møbler,https://en.wikipedia.org/wiki/FDB_M%C3%B8bler,,Aktieselskab,1942,,"Albertslund, Denmark",Furniture,Ole Kiel (CEO),,,,,Coop amba (former),Danish Modern Furniture and home goods,,,,,,www.fdbmobler.dk
St. Modwen Properties,https://en.wikipedia.org/wiki/St._Modwen_Properties,,Private limited company,1966,,"Birmingham, United Kingdom",Property and Regeneration,"Sir Stanley Clarke CBE, (co-founder)Jim Leavesley, (co-founder) Danuta Gray, Non Executive chairman Sarwjit Sambhi, (CEO)",£(120.8) million (2020),,£(126.6) million (2020),,The Blackstone Group,,£342.1 million (2020),,,,,www.stmodwen.co.uk
Guangzhou City F.C.,https://en.wikipedia.org/wiki/Guangzhou_City_F.C.,,,2011; 14 years ago (2011),,,,,,,,,,,,,,,,
World Future Society,https://en.wikipedia.org/wiki/World_Future_Society,,,,,,,,,,,,,,,,,,,
Liu Chong Hing Investment,https://en.wikipedia.org/wiki/Liu_Chong_Hing_Investment,,,,,,,,,,,,,,,,,,,
"Yuzhou, Henan","https://en.wikipedia.org/wiki/Yuzhou,_Henan",,,,,,,,,,,,,,,,,,,www.yuzhou.gov.cn
"Grant County, New Mexico","https://en.wikipedia.org/wiki/Grant_County,_New_Mexico",,,1868,,,,,,,,,,,,,,,,www.grantcountynm.gov
Allied Telesis,https://en.wikipedia.org/wiki/Allied_Telesis,Worldwide,Public (K.K),"March 9, 1987; 38 years ago (1987-03-09)",,"Nishi-Gotanda, Shinagawa-ku, Tokyo 141-0031, Japan",Networking hardware,Sachie Oshima(Chairman and CEO),¥211 million (FY 2017) (US$ 1.9 million) (FY 2017),"1,621 (consolidated, as of December 31, 2017)",,,,SwitchesRoutersFirewalls,¥28.39 billion (FY 2018) (US$ 262 million) (FY 2017),,,,TYO: 6835,Official website
Peking University Resources (Holdings),https://en.wikipedia.org/wiki/Peking_University_Resources_(Holdings),mainland China,public,1991 (as MIT)1992 (as PKU Resources Group)2000 (backdoor listing as EC-Founder)2013 (renamed as PKU Resources),Founder Holdings (in 2000),"Tsuen Wan, Hong Kong (general office)Hamilton, Bermuda(registered office)","Real Estate, Information Technology",Cheung Shuen Lung(Chairman)Zeng Gang(President)Sun Min(Executive director)Shi Hua(Executive director)Liao Hang(Executive director)Zheng Fu Shuang(Executive director),(HK$278 million) (2016),,,Peking University consortium(65.96%)Zheng Fu Shuang consortium(13.11%)Rongtong Fund(09.60%)others/free-floats(11.33%),Founder Information HK(direct)PKU Resources Group Holdings(intermediate)PKU Resources Group(intermediate)Founder Group(intermediate)Peking University Asset Management(intermediate)Peking University(intermediate)The Ministry of Education(intermediate)The State Council(ultimate),Real Estate,HK$15.394 billion (2016),,HK$49.213 billion (2016),HK$1.826 billion (2016),SEHK: 618,pku-resources.com
Building material,https://en.wikipedia.org/wiki/Building_material,,,,,,,,,,,,,,,,,,,
Country Garden,https://en.wikipedia.org/wiki/Country_Garden,"China, Malaysia, Australia",Public,1992,Yang Guoqiang,"Shunde, Guangdong, China","Real estate, education",Chairman: Yang Huiyan (楊惠妍)Largest shareholder: Yang Huiyan,US$ -899.7 million (2023),"69,932 (2023)",,,,"Landed & high-rise residential, commercial, leisure and hospitality developments","US$ 63,978.9 million (2023)","Country Garden Properties (Malaysia) Sdn. Bhd., Country Garden Danga Bay Sdn. Bhd.","US$ 252,923.9 million (2023)","US$ 29,522.6 million (2023)",SEHK: 2007Hang Seng Index component,countrygarden.com.cn
Raven Software,https://en.wikipedia.org/wiki/Raven_Software,,Subsidiary,"May 23, 1990; 35 years ago (1990-05-23) in Madison, Wisconsin, US",Brian RaffelSteve Raffel,"8496 Greenway Blvd, Middleton, Wisconsin, US",Video games,Brian Raffel (co-studio head)David Pellas (co-studio head),,350 (2022),,,Activision (1997–present),Heretic/Hexen series (1994–1998)Soldier of Fortune series (2000–2002)Jedi Knight series (2002–2003)X-Men series (2004–2009)Marvel: Ultimate Alliance (2006)Call of Duty series (2011–present),,,,,,ravensoftware.com
China Metallurgical Group Corporation,https://en.wikipedia.org/wiki/China_Metallurgical_Group_Corporation,Worldwide,Subsidiary,1982; 43 years ago (1982),,"Beijing, China","Engineering, Metallurgy, Mining, Construction",Guo Wenqing (Chairman),,,,,China Minmetals,,,Metallurgical Corporation of China Limited,,,,www.mcc.com.cn
Niu Technologies,https://en.wikipedia.org/wiki/Niu_Technologies,,Public,2014; 11 years ago (2014),"Li Yi'nan, Token Yilin Hu","Beijing, China","Vehicle manufacturing, eMobility",Yan Li,-US$7 million (2022)US$35 million (2021),500-800,,,,,US$459 million (2022)US$581 million (2021),,,,Nasdaq: NIU,www.niu.com
MP Materials,https://en.wikipedia.org/wiki/MP_Materials,Worldwide,Public,2017; 8 years ago (2017),James LitinskyMichael Rosenthal,"Las Vegas, Nevada, U.S.",MaterialsMining,James Litinsky(Executive Chairman & CEO)Michael Rosenthal(COO),,681 (2024),,"JHL Capital Group, QVT Financial LP, James Litinsky, Shenghe Resources",,"Rare earth oxides, Rare-earth metals, and neodymium magnets",,,,,NYSE: MPS&P 400 component,mpmaterials.com
Evergrande Group,https://en.wikipedia.org/wiki/Evergrande_Group,Mainland China,Public,1996; 29 years ago (1996),Hui Ka Yan (Xu Jiayin),"Shenzhen, Guangdong, China",Real estate,Hui Ka Yan (Chairman),"CN¥8.076 billion(US$1.238 billion, 2020)","123,276 (31 December 2020)","CN¥63.520 billion(US$9.732 billion, 2020)",,,,"CN¥507.250 billion(US$77.713 billion, 2020)",Hengda Real Estate Evergrande New Energy Auto,"CN¥2,301 trillion(US$306.410 billion, 2020)","CN¥350.431 billion(US$53.687 billion, 2020)",SEHK: 3333OTC Pink: EGRNQ,www.evergrande.com
Shenzhen,https://en.wikipedia.org/wiki/Shenzhen,,,,,,,,,,,,,,,,,,,sz.gov.cnsz.gov.cn/en
Zhong Lun,https://en.wikipedia.org/wiki/Zhong_Lun,,,,,"Beijing, China",,Anthony Zhao (Managing Partner),,,,,,,US$654 million (2022),,,,,zhonglun.com
Burger King,https://en.wikipedia.org/wiki/Burger_King,Global,Subsidiary,"Insta-Burger King:July 23, 1953; 72 years ago (1953-07-23)Jacksonville, Florida, U.S.Burger King:1954; 71 years ago (1954) Miami, Florida, U.S.",Insta-Burger King:Keith G. Cramer and Matthew BurnsBurger King:David Edgerton and James McLamore,"5707 Blue Lagoon Drive, Miami-Dade County, Florida, U.S.",Restaurant,"Joshua Kobza (CEO, RBI) Tom Curtis (president, Burger King Americas)",US$ 386 million (2023),,,,Pillsbury (1967–1989)Grand Metropolitan (1989–1997)Diageo (1997–2002)TPG Inc. (2002–2010)3G Capital (2010–2014)Restaurant Brands International (2014–present),Hamburgers Chicken French fries Onion rings Soft drinks Milkshakes Salads Desserts Breakfast,US$ 1.30 billion (US revenues 2023) US$ 10.96 billion (US sales 2023) US$ 27.02 billion (global sales 2023),,,,,bk.com
Balanced Commercial Property Trust,https://en.wikipedia.org/wiki/Balanced_Commercial_Property_Trust,,Commercial Property Investment Trust,,,"London, United Kingdom",Investment trust,,,,,,,,,,,,LSE: BCPTFTSE 250 component,www.columbiathreadneedle.co.uk/balanced-commercial-property-trust/
The Oriental Land Company,https://en.wikipedia.org/wiki/The_Oriental_Land_Company,,Public,"July 11, 1960; 65 years ago (1960-07-11)",,"Maihama, Urayasu, Chiba Prefecture, Japan",Travel,"Toshio Kagami (chairman of the board)Yumiko Takano (chairman, CEO)Kenji Yoshida (president, COO)","¥173,328 million (JFY25)","26,713 (JFY25)","¥172,111 million (JFY25)",Keisei Electric Railway (20%)Master Trust Bank of Japan (11%)Mitsui Fudosan (5.8%)Trust & Custody Services Bank (5%)Chiba Prefecture (4%),,,"¥679,374 million (JFY25)","Milial Resort HotelsIkspiariBrighton Co., Ltd.Maihama Resort Line","¥1,438,521 million (JFY25)","¥977,408 million (JFY25)",TYO: 4661TOPIX Large70 component,olc.co.jp/en
Assura plc,https://en.wikipedia.org/wiki/Assura_plc,,Public,2003; 22 years ago (2003),,"Altrincham, United Kingdom",Property,"Ed Smith (Chairman), Jonathan Murphy (CEO)",£102.3 million (2024),,£129.5 million (2024),Primary Health Properties,,Investing in healthcare property,£150.2 million (2024),Assura Properties Plc; Assura Financing Plc,,,LSE: AGR,www.assuraplc.com
The Times,https://en.wikipedia.org/wiki/The_Times,,Daily newspaper,1 January 1785; 240 years ago (1785-01-01) (as The Daily Universal Register),,"The News Building, 1 London Bridge Place, London",,,,,,News UK,,,,,,,,thetimes.com
Meliá Hotels International,https://en.wikipedia.org/wiki/Meli%C3%A1_Hotels_International,,Public (Sociedad Anónima),1956,José Meliá Sinisterra,"Palma de Mallorca, Spain","Travel, tourism",Gabriel Escarrer Juliá (chairman)Gabriel Escarrer Jaume (CEO),€50.1 million (2010),"40000 (average, 2010)",€141.8 million (2010),,,Hotels and resorts,€1.251 billion (2010),,€3.390 billion (end 2010),€1.116 billion (end 2010),BMAD: MELWBAG: MELOTC Pink Limited: SMIZFFWB: MELIBEX 35 component,www.melia.com
Dynamic (record label),https://en.wikipedia.org/wiki/Dynamic_(record_label),,,1978,Pietro Mosetti Casaretto,,,,,,,,,,,,,,,
Biffa,https://en.wikipedia.org/wiki/Biffa,United Kingdom,Private,"1912; 113 years ago (1912) in Wembley, London, England",Richard Henry Biffa,"High Wycombe, England",Waste management,Michael Topham (CEO),£(40.5) million (2021),"8,238 (2021)",£44.2 million (2021),Energy Capital Partners (2023–present),,,"£1,042.0 million (2021)",,,,LSE: BIFF (2016–2023),biffa.co.uk
Centrica,https://en.wikipedia.org/wiki/Centrica,,Public limited company,17 February 1997; 28 years ago (1997-02-17),,"Windsor, Berkshire, England, UK",Utilities,Kevin O’Byrne(Chairman)Chris O'Shea(Group Chief Executive),£1.365 billion (2024),"20,000 (2024)",£1.552 billion (2024),,,,£23.836 billion (2024),See below,£18.733 billion (2024),£4.812 million (2024),LSE: CNAFTSE 100 component,www.centrica.com
China Yangtze Power,https://en.wikipedia.org/wiki/China_Yangtze_Power,China,Public,2002; 23 years ago (2002),,"Beijing, China",Hydroelectricity,Li Yongan (chairman),,,,,China Three Gorges (61.92%),,,,,,SSE: 600900SSE MidCap ComponentCSI A50,www.cypc.com.cn
ContourGlobal,https://en.wikipedia.org/wiki/ContourGlobal,,Public limited company,2005; 20 years ago (2005),,"London, England",Power generation,"Joseph Brandt, President and CEO",$79.7 million (2021),,$370.1 million (2021),,KKR,,"$2,151.9 million (2021)",,,,LSE: GLO,www.contourglobal.com/
Drax Group,https://en.wikipedia.org/wiki/Drax_Group,,Public limited company,2005,,"Drax, North Yorkshire, England, UK",Electrical power generation,"Andrea Bertone, ChairWill Gardiner, Chief Executive",£525.5 million (2024),"3,250 (2024)",£800.2 million (2024),,,Electrical power and byproducts of power product,"£6,081.2 million (2024)",,,,LSE: DRXFTSE 250 component,drax.com
Good Energy,https://en.wikipedia.org/wiki/Good_Energy,,Public limited company,2003 (as Good Energy),,"Chippenham, Wiltshire, England",Renewable energy,"Nigel Pocklington, CEO",,299 (2019),,,,Renewable energy services,£73.9m (2017)£124.3m (2019),,,,LSE: GOOD,www.goodenergy.co.uk
Greencoat Renewables,https://en.wikipedia.org/wiki/Greencoat_Renewables,Europe,Public,2017,Richard Nourse,"Dawson Street, Dublin, Ireland",Wind and Renewable Energy,Paul O'Donnell and Bertrand Gautier,,,,,,,,,,,Euronext Dublin: GRP AIM: GRPISEQ 20 componentEuronext Growth,www.greencoat-renewables.com
Jersey Electricity,https://en.wikipedia.org/wiki/Jersey_Electricity,,Public limited company,April 1924,,Jersey,Energy,"Phil Austin, Chairman, Chris Ambler, CEO",,,,,,,,,,,,Official website
