wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Cenovus Energy,https://en.wikipedia.org/wiki/Cenovus_Energy,Public,TSX: CVENYSE: CVES&P/TSX 60 component,30 November 2009; 15 years ago (2009-11-30),"Calgary, Alberta, Canada",,,Jon McKenzie (CEO)Alex Pourbaix (board chair),,CA$54.277 billion (2024),CA$10.795 billion (2024),CA$3.142 billion (2024),CA$56.539 billion (2024),CA$29.754 billion (2024),"7,150 full-time equivalent employees",Husky Energy,www.cenovus.com,,,Natural gas Fuel Diesel fuel Jet fuel,
Rausser College of Natural Resources,https://en.wikipedia.org/wiki/Rausser_College_of_Natural_Resources,Public professional school,,,,,,,,,,,,,,,nature.berkeley.edu,,,,
Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,Public,Nasdaq: FANGNasdaq-100 componentS&P 500 component,2007; 18 years ago (2007),"Midland, Texas, United States",,,Kaes Van't Hof (chairman and CEO),,US$$11.07 billion (2024),US$4.396 billion (2024),US$3.338 billion (2024),US$67.29 billion (2024),US$37.74 billion (2024),"1,983 (2024)",,www.diamondbackenergy.com,,,PetroleumNatural gasNatural gas liquids,US25278X1090
LGBTQ nobility and royalty,https://en.wikipedia.org/wiki/LGBTQ_nobility_and_royalty,,,,,,,,,,,,,,,,,,,,
Fortress Transportation and Infrastructure Investors,https://en.wikipedia.org/wiki/Fortress_Transportation_and_Infrastructure_Investors,,,,,,,,,,,,,,,,,,,,
Valero Energy,https://en.wikipedia.org/wiki/Valero_Energy,Public,NYSE: VLOS&P 500 component,"January 1, 1980; 45 years ago (1980-01-01)","San Antonio, Texas, United States",,North America,Lane Riggs(President & CEO),,US$144.8 billion (2023),US$11.86 billion (2023),US$8.835 billion (2023),US$63.06 billion (2023),US$28.52 billion (2023),"9,908 (2023)",,www.valero.com,William Greehey,,Gasoline Ethanol Diesel fuel Ultra-low-sulfur diesel Jet fuel Asphalt Petrochemicals Lubricants,
Peabody Energy,https://en.wikipedia.org/wiki/Peabody_Energy,Public,NYSE: BTURussell 2000 ComponentS&P 600 Component,"1883 (1883) (Chicago, Illinois, US)","St. Louis, Missouri, US",,,"Jim Grech, President and CEO",,$4.981 billion (2022) $3.318 billion (2021),US$1.4 billion (2022),,,US$3.3 billion (2023),"5,500 (2023)",,www.peabodyenergy.com,,,,
Black Stone Minerals,https://en.wikipedia.org/wiki/Black_Stone_Minerals,Public,Nasdaq: BSM,1876; 149 years ago (1876),"1001 Fannin Street, Houston, Texas, US",,,"Thomas L. Carter, Jr.(president, chairman, & CEO)",,US$ 260.83 million (2016),US$ 27.50 million (2016),US$ 20.19 million (2016),US$ 1.13 billion (2016),US$ 671.65 million (2016),108 (2016),,blackstoneminerals.com,,,,
Sunoco,https://en.wikipedia.org/wiki/Sunoco,Public,NYSE: SUN,1886; 139 years ago (1886),"Dallas, Texas, U.S.",,,"Joseph Kim (president & CEO) Karl Fails (executive vice president, chief operating officer) Brian Hand (executive vice president, chief sales officer) Austin Harkness (executive vice president, chief commercial officer) Dylan Bramhall (chief financial officer)",,$22.693 billion (2024),,,,,"3,298 (2024)",,www.sunoco.comwww.sunocolp.com,,,Fuel Diesel fuel Jet fuel Heating oil Lubricants Kerosene Propane Chemicals Diesel Exhaust Fluid Additives CardLock Ethanol Renewable Fuels Asphalt Ammonia Butane Crude Oil,
Chord Energy,https://en.wikipedia.org/wiki/Chord_Energy,Public,Nasdaq: CHRDS&P 400 component,"July 1, 2022; 3 years ago (2022-07-01)","Houston, Texas, U.S.",,,Susan M. Cunningham (Chair)Daniel E. Brown (President & CEO)Richard N. Robuck (CFO),,US$5.251 billion (2024),,US$848 million (2024),US$13.032 billion (2024),US$8.702 billion (2024),762 (2024),,chordenergy.com,,,PetroleumNatural gas,
Ecopetrol,https://en.wikipedia.org/wiki/Ecopetrol,Sociedad Anónima,BVC: ECOPETROLNYSE: ECFWB: ECHA,1921; 104 years ago (1921)(Tropical Oil Company - Mares Concession),"Bogotá, Colombia",,,"Ricardo Roa, (Chairman & CEO)",,US$34.3 billion (2023),US$8.7 billion (2023),,US$73 billion (2023),,"9,315",,www.ecopetrol.com.co,1951; 74 years ago (1951)(Ecopetrol - created in 1948 by means of Law 165 of that year),,oil and gas,
Davao Light and Power Company,https://en.wikipedia.org/wiki/Davao_Light_and_Power_Company,Subsidiary,,1929; 96 years ago (1929),Philippines,Davao City,Davao CityDavao del NorteDavao de Oro,"Engr. Enriczar T. Tia, COO",,,,,,,,,,P. H. Frank,,,
ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,Public,NYSE: COPS&P 100 componentS&P 500 component,1875; 150 years ago (1875),"Houston Energy Corridor, Houston, Texas, U.S.",,Worldwide,Ryan Lance (chairman & CEO),,US$56.95 billion (2024),US$12.38 billion (2024),US$9.245 billion (2024),US$122.8 billion (2024),US$64.80 billion (2024),"11,800 (2024)",,conocophillips.com,Frank Phillips,,PetroleumNatural gasNatural gas liquidsBitumenLiquefied natural gas,US20825C1045
Gulf Energy SAOC,https://en.wikipedia.org/wiki/Gulf_Energy_SAOC,,,,,,,,,,,,,,,,,,,,
Ovintiv,https://en.wikipedia.org/wiki/Ovintiv,Public company,NYSE: OVVS&P 400 componentTSX: OVV,"January 24, 2020 (2020-01-24)","Denver, Colorado",,,"Peter Dea, Board Chair;Brendan McCracken, President & CEO; Corey Code, EVP & CFO",,US$8.658 billion (2021),"3,853,000,000 United States dollar (2022)",US$1.416 million (2021),US$14.055 billion (2021),US$5.074 billion (2021),"1,744 (December 2022)",,www.ovintiv.com,,,PetroleumNatural gasNatural gas liquids,US69047Q1022
CNX Resources,https://en.wikipedia.org/wiki/CNX_Resources,Public,NYSE: CNXS&P 400 component,,"Canonsburg, Pennsylvania, U.S.",,,Nicholas J. DeIuliis (CEO and President) Alan K. Shepard (CFO) Navneet Behl (COO),,$1.27 billion (2024),,$−90 million (2024),$8.51 billion (2024),$4.10 billion (2024),458 (2024),,www.cnx.com,,,Natural gas,
Expand Energy,https://en.wikipedia.org/wiki/Expand_Energy,Public,Nasdaq: EXES&P 500 component,1989; 36 years ago (1989),"Oklahoma City, Oklahoma, U.S.",,,"Michael Wichterich (executive chairman)Domenic J. Dell'Osso, Jr. (CEO & president)Mohit Singh (CFO)",,US$4.235 billion (2024),US$–803 million (2024),US$–714 million (2024),US$27.894 billion (2024),US$17.565 billion (2024),"c. 1,700 (2024)",,expandenergy.com,Aubrey McClendonTom L. Ward,,Natural gas,
Helix Energy Solutions Group,https://en.wikipedia.org/wiki/Helix_Energy_Solutions_Group,Public company,NYSE: HLXS&P 600 Component,1980 (as Cal Dive Intl.),"Houston, Texas, United States",,,"Owen Kratz, President and CEO",,$873 Million USD (2022),$68 Million USD (2022),$88 Million USD (2019),,,"2,280 (2022)",,helixesg.com,,,Well Intervention OperationsRemotely Operated Vehicle OperationsOil Exploration and ProductionOffshore Production Facilities,
Borr,https://en.wikipedia.org/wiki/Borr,,,,,,,,,,,,,,,,,,,,
Powell Industries,https://en.wikipedia.org/wiki/Powell_Industries,Public,Nasdaq: POWLS&P 600 Component,1947; 78 years ago (1947),"Houston, Texas",,,"Brett Alan Cope (chairman, president, CEO)",,,,,,,,,powellind.com,,,"Power Control Rooms, E-Houses, ANSI/IEC switchgear, MV and LV motor Control, LV switchgear, Bus Duct, Utility Transfer Switches, DC switchgear, bus duct, field services, and Power Management and Control Systems",
Range Resources,https://en.wikipedia.org/wiki/Range_Resources,Public company,NYSE: RRCS&P 400 component,1976; 49 years ago (1976),"Fort Worth, Texas, U.S.",,,"Dennis L. Degner, President & CEOMark S. Schucchi, CFO",,US$2.417 billion (2024),,US$266 million (2024),US$7.347 billion (2024),US$3.936 billion (2024),565 (2025),,rangeresources.com,,,PetroleumNatural gas,
Bloom Energy,https://en.wikipedia.org/wiki/Bloom_Energy,Public,NYSE: BE (Class A)Russell 2000 Index component,2001,"North San Jose Innovation District, San Jose, California, United States",,Worldwide,"K.R. Sridhar (founder, CEO)",Carbon-free electricity generation,$1.47 billion (2024),$22.9 million (2024),$381.74 million (2024),"$2,657 million (2024)",$585 million (2024),"2,127 (2024)",,www.bloomenergy.com,"K.R. Sridhar, John Finn, Matthias Gottmann, James McElroy, Dien Nguyen",,Solid Oxide Bloom Energy Server (Bloom Box) Hydrogen Fuel CellsBloom Electrolyzers,
Halliburton,https://en.wikipedia.org/wiki/Halliburton,Public,NYSE: HALS&P 500 component,"1919; 106 years ago (1919), in Duncan, Oklahoma, U.S.","Houston, Texas and Dubai UAE",,Worldwide,"Jeff Miller (chairman, president, CEO)",,US$22.9 billion (2024),US$3.82 billion (2024),US$2.51 billion (2024),US$25.6 billion (2024),US$10.5 billion (2024),"48,000 (2024)",,halliburton.com,Erle P. Halliburton,,,
Kolibri Global Energy,https://en.wikipedia.org/wiki/Kolibri_Global_Energy,,,,,,,,,,,,,,,,,,,,
Antero Resources,https://en.wikipedia.org/wiki/Antero_Resources,Public company,NYSE: ARS&P 400 component,2002; 23 years ago (2002),"Denver, Colorado, U.S.",,,"Paul M. Rady Retired (Chairman & CEO)Glen C. Warren, Jr. Retired (President)Michael N. Kennedy (President & CEO)Brendan Krueger (CFO)",,US$4.619 billion (2021),,US$-186 million (2021),US$13.896 billion (2021),US$5.757 billion (2021),"519 (December 31, 2021)",,www.anteroresources.com,"Paul M. RadyGlen C. Warren, Jr.",Antero Resources Appalachian Corporation,Natural gasEthaneNatural gas liquidsPetroleum,US03674X1063
Plains All American Pipeline,https://en.wikipedia.org/wiki/Plains_All_American_Pipeline,Public,Nasdaq: PAANasdaq: PAGP,1981; 44 years ago (1981),"Houston, Texas, United States",,,Willie Chiang (chairman and CEO),Pipeline transportOil terminal,$57.342 billion (2022),,"$1,037 billion (2022)",$23.892 billion (2022),$13.325 billion (2022),,,www.plains.com,,,,
Coterra,https://en.wikipedia.org/wiki/Coterra,Public,NYSE: CTRAS&P 500 component,1989; 36 years ago (1989),"Houston, Texas, U.S.",,,"Thomas E. Jorden (chairman, president & CEO)",,US$5.46 billion (2024),US$1.39 billion (2024),US$1.12 billion (2024),US$21.6 billion (2024),US$13.1 billion (2024),915 (2024),,coterra.com,,,PetroleumNatural gasNatural gas liquids,
Concho Resources,https://en.wikipedia.org/wiki/Concho_Resources,Public company,NYSE: CXO,2004; 21 years ago (2004),"Midland, Texas",,,"Timothy A. Leach, Chairman and CEOJack F. Harper, CFO",,US$4.592 billion (2019),US$−987 million (2019),US$−705 million (2019),US$24.732 billion (2019),US$17.782 billion (2019),"1,453 (2019)",,www.concho.com,Timothy A. Leach,,,
"Calumet, Inc.","https://en.wikipedia.org/wiki/Calumet,_Inc.",Public,Nasdaq: CLMT,1919,"Indianapolis, Indiana",,,,,,,,,,,,www.calumetspecialty.com,,,Oil and solvents,
RPC Group,https://en.wikipedia.org/wiki/RPC_Group,Public,LSE: RPC,1988 as Reedpack Containers1991 as RPC Containers,"Rushden, Northamptonshire",,,"Jamie Pike, Chairman Pim Vervaat, Chief Executive",,"£3,747.7 million (2018)",£425.0 million (2018),£253.8 million (2018),,,"24,295 (2018)",,www.rpc-group.com,,,,
California Resources Corporation,https://en.wikipedia.org/wiki/California_Resources_Corporation,Public,NYSE: CRCS&P 600 Component,April 2014; 11 years ago (2014-04),"Long Beach, California",,,Mark A. (Mac) McFarland (chairman) Francisco J. Leon (CEO),,$1.889 billion (2021),,$612 million (2021),$3.846 billion (2021),$1.688 billion (2021),970 (2021),,crc.com,,,PetroleumNatural GasNatural Gas Liquids,
Texas Pacific Land Corporation,https://en.wikipedia.org/wiki/Texas_Pacific_Land_Corporation,Public,NYSE: TPLS&P 500 component,"February 1, 1888; 137 years ago (1888-02-01) as Texas Pacific Land Trust","Dallas, Texas, U.S.",,,Tyler Glover(CEO & President) Chris Steddum (CFO),,US$631.6 million (2023),US$486.0 million (2023),US$405.6 million (2023),US$1.156 billion (2023),US$1.043 billion (2023),99 (2023),,www.texaspacific.com,,,Oil/Gas Land Royalties,
Helmerich & Payne,https://en.wikipedia.org/wiki/Helmerich_%26_Payne,Public,NYSE: HPS&P 600 component,1920; 105 years ago (1920),"Tulsa, Oklahoma, U.S.",,,Hans Helmerich (chairman)John Lindsay (CEO),,US$2.76 billion (2024),US$452 million (2024),US$344 million (2024),US$5.78 billion (2024),US$2.92 billion (2024),"6,200 (2024)",,helmerichpayne.com,,,Oilfield Products & Services,
Mobil,https://en.wikipedia.org/wiki/Mobil,Division,NYSE: MOB S&P 500 component (until 1999),"August 10, 1892 (1892-08-10)","Socony–Mobil Building, New York City, New York, U.S.",,Worldwide,,,,,,,,,Magnolia (1925–59) Standard Vacuum Oil Co. (1933–62),mobil.com,Charles Pratt,Standard Oil Company of New York (1892–31) Socony-Vacuum (1931–55) Socony Mobil (1955–66) Mobil Oil Corp. (1966–99),"Gasoline, convenience storeSome locations:Car wash, repair shop",
2021–2023 Warrior Met Coal strike,https://en.wikipedia.org/wiki/2021%E2%80%932023_Warrior_Met_Coal_strike,,,,,,,,,,,,,,,,,,,,
EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation,Public,NYSE: EQTS&P 500 component,1888; 137 years ago (1888),"EQT PlazaPittsburgh, Pennsylvania, U.S.",,,Lydia Beebe (chair)Toby Rice (president & CEO)Jeremy Knop (CFO),,US$5.27 billion (2024),US$685 million (2024),US$231 million (2024),US$39.8 billion (2024),US$20.6 billion (2024),"1,461 (2024)",,eqt.com,Michael and Obediah Haymaker,"Equitable Resources, Inc.",PetroleumNatural gasNatural gas liquids,
Liquefied natural gas,https://en.wikipedia.org/wiki/Liquefied_natural_gas,,,,,,,,,,,,,,,,,,,,
Vaalco Energy,https://en.wikipedia.org/wiki/Vaalco_Energy,Public company,NYSE: EGYRussell Microcap Index component,1985; 40 years ago (1985),"Houston, Texas, United States",,,"George W.M. Maxwell, CEOAndrew L. Fawthrop, ChairmanRon Bain, CFO",,$199 million (2021),,$81 million (2021),$263 million (2021),$144 million (2021),"117, including 80 in Gabon (2021)",,www.vaalco.com,,,Petroleum,
Secure Energy Services,https://en.wikipedia.org/wiki/Secure_Energy_Services,Public,TSX: SESS&P/TSX Composite Component,2007,"Calgary, Alberta, Canada",,,Allen Gransch (President and Chief Executive Officer),,,,,,,,,http://secure.ca,Rene Amirault,,,
Murphy Oil,https://en.wikipedia.org/wiki/Murphy_Oil,Public company,NYSE: MURS&P 400 component,1944; 81 years ago (1944),"Houston, Texas, United States",,,"Claiborne P. Deming, ChairmanRoger Jenkins, CEO",,$2.801 billion (2021),,-$73.7 million (2021),$10.305 billion (2021),$4.157 billion (2021),696 (2021),,www.murphyoilcorp.com,"Theodosia Murphy Nolan, Bertie Murphy Deming Smith, and Charles H. Murphy Sr.",,PetroleumNatural gas,
World Kinect Corporation,https://en.wikipedia.org/wiki/World_Kinect_Corporation,Public,NYSE: WKCS&P 600 Component,1984,"Doral, Florida, U.S.",,,"Michael J. Kasbar, Chairman & CEO","Logistics, trading, transportation, financing",US$39.75 billion (2018),US$259.7 million (2018),US$127.7 million (2018),US$5.688 billion (2018),US$1.832 billion (2018),"~5,000 (February 2018)","Multiservice Corp, Carter Energy, U.S. Energy Services, Kinect Energy, Alta Fuels and Transportation, Avinode, Texor Petroleum, Western Petroleum, MH Aviation, Colt Aviation, AvCard, Tramp Oil, Nordic Camp, FBO One, Total FBO, myFBO, Norse Bunker, PetroAir, Ascent Aviation, MH Aviation, PAPCO, APP, Avinode, Indianhead Oil, South Minnesota Lubes, AMSTAR, KTM, Beach Front Energy, Bergin Energy, Utilities Exchange, OnDemand Energy Solutions",world-kinect.com,,,"Energy commodities, derivatives",
Phillips 66,https://en.wikipedia.org/wiki/Phillips_66,Public,NYSE: PSXS&P 500 component,"1927; 98 years ago (1927) (brand) May 1, 2012; 13 years ago (2012-05-01) (company) in Houston, Texas, U.S.","Westchase, Houston, Texas, U.S.",,Worldwide,Mark Lashier (Chairman & CEO),Oil refiningService stations,US$145 billion (2024),US$1.25 billion (2024),US$2.12 billion (2024),US$72.6 billion (2024),US$27.4 billion (2024),"13,200 (2024)",Chevron Phillips Chemical,phillips66.com,L.E. PhillipsFrank Phillips,,Natural gasPetrochemicalsAviation fuelsMotor fuelsLubricants,
HF Sinclair,https://en.wikipedia.org/wiki/HF_Sinclair,Public company,NYSE: DINOS&P 400 component,1947; 78 years ago (1947),"Dallas, Texas, United States",,,"Franklin Myers, Chairman Tim Go, CEO",,$11.183 billion (2020),"4,054,249,000 United States dollar (2022)",-$514 million (2020),$11.506 billion (2020),$5.168 billion (2020),"3,891 (2020)",,hfsinclair.com,,,GasolineDiesel fuelJet fuelLubricantsAsphalt,
Imperial Oil,https://en.wikipedia.org/wiki/Imperial_Oil,Public subsidiary,TSX: IMOAMEX: IMOS&P/TSX 60 component,1880; 145 years ago (1880),"Formerly 505 Quarry Park Boulevard SE, Calgary, Alberta, Canada Calgary, Alberta, Canada",,,"Brad Corson, Chairman (president & CEO)",,$51.51 billion CAD (2024),,$1.122 billion CAD (2015),$43.170 billion CAD (2015),$23.425 billion CAD (2015),"5,100 (2025)",,imperialoil.ca,,,Petrochemical products,
EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,Public,NYSE: EOGS&P 500 component,1999; 26 years ago (1999),"Heritage PlazaHouston, Texas, U.S.",,,Ezra Y. Yacob (CEO & director)Timothy K. Driggers (CFO),,"25,702,000,000 United States dollar (2022)","9,966,000,000 United States dollar (2022)","7,759,000,000 United States dollar (2022)",$35.804 billion (2020),$20.301 billion (2020),"2,900 (2020)",,www.eogresources.com,Mark G. Papa,,PetroleumNatural gasNatural gas liquids,
SM Energy,https://en.wikipedia.org/wiki/SM_Energy,Public company,NYSE: SMS&P 600 component,1908; 117 years ago (1908),"Denver, Colorado, United States",,,"Herbert S. Vogel, President & CEOA. Wade Pursell, Executive Vice President & CFOBeth A. McDonald, Executive Vice President & COOJulio M. Quintana, Chairman of the Board",,$2.7 billion (2024),,$770 million (2024),$8.6 billion (2024),$4.2 billion (2024),663 (2024),,sm-energy.com,,,PetroleumNatural gasNatural gas liquids,
Liberty Energy,https://en.wikipedia.org/wiki/Liberty_Energy,,NYSE: LBRT,,"Denver, Colorado, U.S.",,,Chris Wright (Founder)Ron Gusek (CEO),,,,,,,,,libertyenergy.com,,,,
PBF Energy,https://en.wikipedia.org/wiki/PBF_Energy,Public company,NYSE: PBF (Class A)S&P 400 componentRussell 2000 component,2008,"Parsippany, New Jersey, U.S.",,,Thomas J. Nimbley(Chairman)Matthew C. Lucey(President & CEO),,"46,830,300,000 United States dollar (2022)","4,153,200,000 United States dollar (2022)","2,876,800,000 United States dollar (2022)",,,"3,776 (2024)",,pbfenergy.com,,,,
Canadian Natural Resources,https://en.wikipedia.org/wiki/Canadian_Natural_Resources,Public company,TSX: CNQS&P/TSX 60 component,7 November 1973; 52 years ago (1973-11-07),"2100 Bankers Hall East, 855 2 Street SW, Calgary, Alberta",,,"Tim S. Mckay, PresidentN. Murray Edwards, ChairmanGordon D. Giffin, directorFrank McKenna, directorCatherine M. Best, directorDavid A. Tuer, directorM. Elizabeth Cannon, director",,$17.491 billion (2020),,($435) million (2020),$75.276 billion (2020),$37.458 billion (2020),"9,709 (2021)",,www.cnrl.com,,AEX Minerals Corporation,PetroleumNatural gasNatural gas liquids,
Valaris Limited,https://en.wikipedia.org/wiki/Valaris_Limited,Public limited company,NYSE: VALS&P 400 component,1975; 50 years ago (1975),"Hamilton, Bermuda (incorporation)San Felipe PlazaHouston, Texas, U.S. (operational)",,,Anton Dibowitz (CEO & President)Chris Weber (CFO),Offshore drillingWell drilling,US$2.362 billion (2024),,US$369 million (2024),US$4.419 billion (2024),US$2.244 billion (2024),"5,642, including contract personnel (2024)",,www.valaris.com,,EnscoRowan plc,,
Marathon Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum,Public,NYSE: MPCS&P 500 component,"November 9, 2009; 16 years ago (2009-11-09)","Findlay, Ohio, U.S.","7,220 independently owned retail outlets1,100 direct dealer locations",Worldwide,Michael J. Hennigan (chairman) Maryann Mannen (president & CEO) John P. Surma (Lead Independent Director),Pipeline transport Oil refining Marketing,US$140.4 billion (2024),US$5.428 billion (2024),US$3.445 billion (2024),US$78.86 billion (2024),US$17.75 billion (2024),"18,300 (2024)",,marathonpetroleum.com,,,Fuel Diesel fuel Diesel Exhaust Fluid Jet fuel Petrochemicals Lubricants Renewable Fuels Crude Oil Natural gas,
Ministry of Heavy Industries,https://en.wikipedia.org/wiki/Ministry_of_Heavy_Industries,,,,,,,,,,,,,,,,heavyindustries.gov.in,,,,
Seadrill,https://en.wikipedia.org/wiki/Seadrill,Public limited company,OSE: SDRLNYSE: SDRL,"May 10, 2005; 20 years ago (2005-05-10)","Hamilton, Bermuda (Incorporated), Houston, United States (operational) London, United Kingdom (Global)",,,"Julie Johnson Robertson, Chairperson Simon Johnson, CEOGrant Creed, CFO",Offshore drilling,$1.253 billion (2018),,-$4.490 billion (2018),$10.848 billion (2018),$3.035 billion (2018),"4,780 (2016)",,www.seadrill.com,,,,
Crescent Communities,https://en.wikipedia.org/wiki/Crescent_Communities,Private Corporation,,,"Charlotte, North Carolina, U.S.",,,Brian Natwick (Chairman & CEO)Kevin H. Lambert (CFO),,,,,US$1 billion+ (2017),,115,,http://www.crescentcommunities.com/,,South Carolina Land and Timber (1963)Crescent Land and Timber (1969)Crescent Resources (mid-80s),,
Baytex Energy,https://en.wikipedia.org/wiki/Baytex_Energy,Public,TSX: BTENYSE: BTE,1993; 32 years ago (1993),"Calgary, Canada",,,Mark Bly (chairman)Eric Greager (president and CEO),,C$852.74 (2010)24%,,C$177.63 million (2010)103%,C$2.047 billion dec 2010,C$1.029 billion dec 2010,,,baytexenergy.com,,,"Heavy crude oil, Light crude oil, Natural Gas",
American Railway Express Company Garage,https://en.wikipedia.org/wiki/American_Railway_Express_Company_Garage,,,,,,,,,,,,,,,,,,,,
"American Energy Partners, LP","https://en.wikipedia.org/wiki/American_Energy_Partners,_LP",Private,,,"Oklahoma City, Oklahoma, United States",,,Aubrey K. McClendon (chairman and CEO),,,,,,,,,www.americanenergypartners.com,Aubrey K. McClendon,,"Natural gas, natural gas liquids and oil",
"Woodward, Inc.","https://en.wikipedia.org/wiki/Woodward,_Inc.",Public,Nasdaq: WWD (WGOV prior to 2011)S&P 400 Component,"Rockford, Illinois, United States (1870 (1870))","Fort Collins, Colorado, United States",42 plants and offices in 13 countries (2021),Worldwide,"Chip Blankenship(Chairman, President, & CEO)Bill Lacey(Vice Chairman & CFO) Tom Cromwell|(Vice Chairman & COO)",,US$ 2.25 billion(FY SEP 2021),US$ 280.08 million(FY SEP 2021),US$ 208.65 million(FY SEP 2021),US$ 4.09 billion(FY SEP 2021),US$ 2.21 billion(FY SEP 2021),"~7,200 (FY MAY 2021)",,www.woodward.com,Amos Woodward,The Woodward Governor Company,Control systems and components,US9807451037
Bain Capital,https://en.wikipedia.org/wiki/Bain_Capital,Private,,1984; 41 years ago (1984),"200 Clarendon StreetBoston, Massachusetts, U.S.","Boston, Chicago, Dublin, Hong Kong, London, Melbourne, Mumbai, Munich, New York, Palo Alto, San Francisco, Shanghai, Sydney and Tokyo",,Joshua Bekenstein (co-chairman) Stephen Pagliuca (co-chairman) John P. Connaughton (co-managing partner) David Gross (co-managing partner) Jonathan Lavine (chair),,US$297.8 million (2023),,,,,"1,200+ (2018)",,baincapital.com,Mitt RomneyT. Coleman Andrews IIIEric Kriss,,"Venture capital, investment management, public equity, private equity, real estate and credit products",
Alpha Natural Resources,https://en.wikipedia.org/wiki/Alpha_Natural_Resources,Private,,2002,"Kingsport, Tennessee, United States",,,"Andy Eidson (CEO, Chairman)",,"$3,917.156 mil (2010)57%89% coal,8.5% freight",,$95.551 mil (2010)64.7%,US$5.17928 bil (Dec'10),,,,www.alphanr.com,,,Coking and steam coal,
Sasol,https://en.wikipedia.org/wiki/Sasol,Public,JSE: SOLNYSE: SSL,1950; 75 years ago (1950),"Sandton, South Africa",354 (2024),Africa Asia Europe Oceania United States,Muriel Dube (Chairman)Simon Baloyi (CEO),,R249.09 billion (2025),R18.81 billion (2025),R9.5 billion (2025),R359.55 billion (2025),R157.61 billion (2025),"27,411 (2025)",,www.sasol.com,Etienne Rousseau,,,
Talos Energy,https://en.wikipedia.org/wiki/Talos_Energy,Public,NYSE: TALOS&P 600 componentRussell 2000 component,2012,"Houston, Texas",,,Timothy S. Duncan (CEO and President)Shane Young (CFO and Senior Vice PresidentStephen E. Heitzman (COO and Executive Vice President)John A. Parker (Executive Vice President – Exploration),,,,,,,,,www.talosenergy.com,,,,
Par Pacific Holdings,https://en.wikipedia.org/wiki/Par_Pacific_Holdings,Public,AMEX: PARRS&P 600 component,,"Houston, Texas, U.S.",,,William Monteleone(President & CEO),,US$ 1.865 billion (2016),US$-16.494 million (2016),US$-45.835 million (2016),US$ 403.108 million (2016),,863,,parpacific.com,,,"Oil, natural gas, petroleum",
South Mumbai,https://en.wikipedia.org/wiki/South_Mumbai,,,,,,,,,,,,,,,,,,,,
SandRidge Energy,https://en.wikipedia.org/wiki/SandRidge_Energy,Public,NYSE: SDRussell 2000 Index component,2006; 19 years ago (2006),"SandRidge CenterOklahoma City, Oklahoma, United States",,,Grayson Pranin (CEO)Salah Gamoudi (CFO)Jonathan Frates (chairman),,$168 million (2021),,$116 million (2021),$352 million (2021),$245 million (2021),101 (2021),,sandridgeenergy.com,Tom L. Ward,,PetroleumNatural gasNatural gas liquids,
Patterson-UTI,https://en.wikipedia.org/wiki/Patterson-UTI,Public,Nasdaq: PTENS&P 600 component,1978; 47 years ago (1978),"Houston, Texas, U.S.",,,Mark S. Siegel (chairman)William Andrew Hendricks Jr. (president & CEO),Well drilling,US$2.356 billion (2017),,US$0.006 billion (2017),US$5.758 billion (2017),US$3.982 billion (2017),"5,800 (February 7, 2020)",,patenergy.com,,,,
AMC Matador,https://en.wikipedia.org/wiki/AMC_Matador,,,,,,,,,,,,,,,,,,,,
Oceaneering International,https://en.wikipedia.org/wiki/Oceaneering_International,Public,NYSE: OII S&P 600 component,1964; 61 years ago (1964),"Houston, Texas, U.S.",,,"M. Kevin McEvoy, Chairman of the Board Rod Larson, Director & CEO Alan R. Curtis, Sr. Vice President & CFO",,US$ 2.7 billion (2024),US$ $246 million (2024),US$ $147 million (2024),US$ 2.03 billion (2022),US$ 526.80 million (2022),"~12,000 (2025)",,www.oceaneering.com,,,"ROV services Subsea oilfield hardware Deepwater intervention Crewed diving services Nondestructive testing Engineering/project management Survey and mapping services Mobile Robotics, and Entertainment systems Aerospace thermal protection",
Littelfuse,https://en.wikipedia.org/wiki/Littelfuse,Public,Nasdaq: LFUSS&P 400 component,1927; 98 years ago (1927),"Chicago, Illinois, United States",,,Gordon Hunter (chairman)Greg Henderson (CEO),,US$2.19 billion (2024),US$159 million (2024),US$100 million (2024),US$3.89 billion (2024),US$2.41 billion (2024),"16,000 (2024)",Zilog,littelfuse.com,Edward V. Sundt,,,
TotalEnergies,https://en.wikipedia.org/wiki/TotalEnergies,Public,Euronext Paris: TTENYSE: TTE (ADR)CAC 40 component,28 March 1924; 101 years ago (1924-03-28),"Tour Total, Courbevoie, France",,Worldwide,Patrick Pouyanné (chairman & CEO),Fuel stations,US$237.1 billion (2023),US$33.43 billion (2023),US$21.51 billion (2023),US$283.6 billion (2023),US$119.4 billion (2023),"102,579 (2023)",,totalenergies.com,,Total SE,Petroleumnatural gasLNGoil refiningchemicalssolarbiomass,FR0000120271
